model,seed,alpha,auc,prc
bscan_unified_msm,9001,0.02,0.841506,0.728686
bscan_unified_msm,9001,0.05,0.841876,0.729328
bscan_unified_msm,9001,0.1,0.842456,0.730001
bscan_unified_msm,9001,0.2,0.843569,0.731422
bscan_unified_msm,9001,0.5,0.845685,0.736434
bscan_unified_msm,9001,1.0,0.84292,0.738793
bscan_unified_bert,42,0.0,0.821286,0.697848
bscan_unified_bert,42,0.02,0.821945,0.700586
bscan_unified_bert,42,0.05,0.82283,0.701001
bscan_unified_bert,42,0.1,0.824141,0.701803
bscan_unified_bert,42,0.2,0.825941,0.702792
bscan_unified_bert,42,0.5,0.82595,0.70287
bscan_unified_bert,42,1.0,0.807114,0.694612
bscan_unified_bert,123,0.0,0.839072,0.709938
bscan_unified_bert,123,0.02,0.839283,0.711215
bscan_unified_bert,123,0.05,0.839565,0.711344
bscan_unified_bert,123,0.1,0.839952,0.711508
bscan_unified_bert,123,0.2,0.840399,0.711818
bscan_unified_bert,123,0.5,0.838939,0.712375
bscan_unified_bert,123,1.0,0.825549,0.707196
bscan_unified_bert,315,0.0,0.853347,0.753365
bscan_unified_bert,315,0.02,0.853934,0.762178
bscan_unified_bert,315,0.05,0.853968,0.7621
bscan_unified_bert,315,0.1,0.854146,0.762392
bscan_unified_bert,315,0.2,0.854399,0.762799
bscan_unified_bert,315,0.5,0.854537,0.76309
bscan_unified_bert,315,1.0,0.85403,0.763639
bscan_unified_bert,777,0.0,0.860083,0.734886
bscan_unified_bert,777,0.02,0.86024,0.738672
bscan_unified_bert,777,0.05,0.860311,0.738686
bscan_unified_bert,777,0.1,0.860451,0.738864
bscan_unified_bert,777,0.2,0.860663,0.739446
bscan_unified_bert,777,0.5,0.860825,0.742403
bscan_unified_bert,777,1.0,0.858424,0.745843
bscan_unified_bert,1004,0.0,0.858133,0.735453
bscan_unified_bert,1004,0.02,0.85861,0.745861
bscan_unified_bert,1004,0.05,0.858669,0.746095
bscan_unified_bert,1004,0.1,0.858688,0.746434
bscan_unified_bert,1004,0.2,0.858559,0.74785
bscan_unified_bert,1004,0.5,0.856466,0.749639
bscan_unified_bert,1004,1.0,0.845861,0.746754
bscan_unified_bert,2024,0.0,0.859347,0.749275
bscan_unified_bert,2024,0.02,0.859698,0.754667
bscan_unified_bert,2024,0.05,0.86,0.755004
bscan_unified_bert,2024,0.1,0.860273,0.755477
bscan_unified_bert,2024,0.2,0.859899,0.755555
bscan_unified_bert,2024,0.5,0.851263,0.751604
bscan_unified_bert,2024,1.0,0.823785,0.737479
bscan_unified_bert,2025,0.0,0.833852,0.705988
bscan_unified_bert,2025,0.02,0.834379,0.71615
bscan_unified_bert,2025,0.05,0.834556,0.71638
bscan_unified_bert,2025,0.1,0.834772,0.716517
bscan_unified_bert,2025,0.2,0.834901,0.716757
bscan_unified_bert,2025,0.5,0.832786,0.716559
bscan_unified_bert,2025,1.0,0.821756,0.713183
bscan_unified_bert,2026,0.0,0.846239,0.71567
bscan_unified_bert,2026,0.02,0.84654,0.719868
bscan_unified_bert,2026,0.05,0.846852,0.720336
bscan_unified_bert,2026,0.1,0.84727,0.72098
bscan_unified_bert,2026,0.2,0.847881,0.721536
bscan_unified_bert,2026,0.5,0.847984,0.723648
bscan_unified_bert,2026,1.0,0.840473,0.724281
bscan_unified_bert,3407,0.0,0.859442,0.745289
bscan_unified_bert,3407,0.02,0.860252,0.759351
bscan_unified_bert,3407,0.05,0.860265,0.759413
bscan_unified_bert,3407,0.1,0.860255,0.759347
bscan_unified_bert,3407,0.2,0.860305,0.759925
bscan_unified_bert,3407,0.5,0.860112,0.761516
bscan_unified_bert,3407,1.0,0.858822,0.761753
bscan_unified_bert,9001,0.0,0.832444,0.70722
bscan_unified_bert,9001,0.02,0.832917,0.712788
bscan_unified_bert,9001,0.05,0.833368,0.713113
bscan_unified_bert,9001,0.1,0.834059,0.713805
bscan_unified_bert,9001,0.2,0.83512,0.714588
bscan_unified_bert,9001,0.5,0.835045,0.716201
bscan_unified_bert,9001,1.0,0.821777,0.711885
