=== Waiting for all 35 ablation checkpoints ===
  10:06: 18/35 done, waiting...
  10:08: 18/35 done, waiting...
  10:10: 18/35 done, waiting...
  10:12: 18/35 done, waiting...
  10:14: 18/35 done, waiting...
  10:16: 18/35 done, waiting...
  10:18: 18/35 done, waiting...
  10:20: 18/35 done, waiting...
  10:22: 18/35 done, waiting...
  10:24: 18/35 done, waiting...
  10:26: 18/35 done, waiting...
  10:28: 18/35 done, waiting...
  10:30: 18/35 done, waiting...
  10:32: 18/35 done, waiting...
  10:34: 18/35 done, waiting...
  10:36: 18/35 done, waiting...
  10:38: 18/35 done, waiting...
  10:40: 18/35 done, waiting...
  10:42: 18/35 done, waiting...
  10:44: 18/35 done, waiting...
  10:46: 18/35 done, waiting...
  10:48: 18/35 done, waiting...
  10:50: 18/35 done, waiting...
  10:52: 18/35 done, waiting...
  10:54: 18/35 done, waiting...
  10:56: 18/35 done, waiting...
  10:58: 18/35 done, waiting...
  11:00: 18/35 done, waiting...
  11:02: 18/35 done, waiting...
  11:04: 18/35 done, waiting...
  11:06: 18/35 done, waiting...
  11:08: 18/35 done, waiting...
  11:10: 18/35 done, waiting...
  11:12: 18/35 done, waiting...
  11:14: 18/35 done, waiting...
  11:16: 18/35 done, waiting...
  11:18: 18/35 done, waiting...
  11:20: 18/35 done, waiting...
  11:22: 18/35 done, waiting...
  11:24: 18/35 done, waiting...
  11:26: 18/35 done, waiting...
  11:28: 18/35 done, waiting...
  11:30: 18/35 done, waiting...
  11:32: 18/35 done, waiting...
  11:34: 18/35 done, waiting...
  11:36: 18/35 done, waiting...
  11:38: 18/35 done, waiting...
  11:40: 18/35 done, waiting...
  11:42: 18/35 done, waiting...
  11:44: 18/35 done, waiting...
  11:46: 18/35 done, waiting...
  11:48: 18/35 done, waiting...
  11:50: 18/35 done, waiting...
  11:52: 18/35 done, waiting...
  11:54: 18/35 done, waiting...
  11:56: 18/35 done, waiting...
  11:58: 18/35 done, waiting...
  12:00: 18/35 done, waiting...
  12:02: 18/35 done, waiting...
  12:04: 18/35 done, waiting...
  12:06: 18/35 done, waiting...
  12:08: 18/35 done, waiting...
  12:10: 18/35 done, waiting...
  12:12: 18/35 done, waiting...
  12:14: 18/35 done, waiting...
  12:16: 18/35 done, waiting...
  12:18: 18/35 done, waiting...
  12:20: 18/35 done, waiting...
  12:22: 18/35 done, waiting...
  12:24: 18/35 done, waiting...
  12:26: 18/35 done, waiting...
  12:28: 18/35 done, waiting...
  12:30: 18/35 done, waiting...
  12:32: 18/35 done, waiting...
  12:34: 18/35 done, waiting...
  12:36: 18/35 done, waiting...
  12:38: 18/35 done, waiting...
  12:40: 18/35 done, waiting...
  12:42: 18/35 done, waiting...
  12:44: 18/35 done, waiting...
  12:46: 18/35 done, waiting...
  12:48: 18/35 done, waiting...
  12:50: 18/35 done, waiting...
  12:52: 18/35 done, waiting...
  12:54: 18/35 done, waiting...
  12:56: 18/35 done, waiting...
  12:58: 18/35 done, waiting...
  13:00: 18/35 done, waiting...
  13:02: 18/35 done, waiting...
  13:04: 18/35 done, waiting...
  13:06: 18/35 done, waiting...
  13:08: 18/35 done, waiting...
  13:10: 18/35 done, waiting...
  13:12: 18/35 done, waiting...
  13:14: 18/35 done, waiting...
  13:16: 18/35 done, waiting...
  13:18: 18/35 done, waiting...
  13:20: 18/35 done, waiting...
  13:22: 18/35 done, waiting...
  13:24: 18/35 done, waiting...
  13:26: 18/35 done, waiting...
  13:28: 18/35 done, waiting...
  13:30: 18/35 done, waiting...
  13:32: 18/35 done, waiting...
  13:34: 18/35 done, waiting...
  13:36: 18/35 done, waiting...
  13:38: 18/35 done, waiting...
  13:40: 18/35 done, waiting...
  13:42: 18/35 done, waiting...
  13:44: 18/35 done, waiting...
  13:46: 18/35 done, waiting...
